seed,sharpe,ann_return,ann_vol,maxdd
0,-0.9202679410017144,-0.05220089119598038,0.056723578938498664,-0.1579749515025179
1,-0.4905478504698874,-0.027182827930060795,0.05541320363349432,-0.1440440615545959
2,0.5702639481068421,0.0628372148044331,0.1101897025281707,-0.1490362293093931
3,-0.28051015036131366,-0.023187835182929738,0.08266308778153815,-0.15629134469537523
4,-0.5844329335560403,-0.02631422945537951,0.04502523376851466,-0.08737441685295198
5,-1.215044528966617,-0.0587201835222823,0.048327597978835575,-0.1526272103993688
6,0.17253952487851545,0.008567242101866428,0.049653794444482195,-0.06520001233462244
7,-0.9701457940437602,-0.05468584272351812,0.056368685056682744,-0.16192733572307047
8,0.8326489904225739,0.08767438887542324,0.10529573671965664,-0.13051468874933198
9,0.12037481319229365,0.011097361681428341,0.0921900635783399,-0.09843964128242803
10,0.40989839308853837,0.034089597738849155,0.08316597067382446,-0.11582738662604243
11,0.45584236688955365,0.0447084319777787,0.09807871146959697,-0.11795188874378801
12,1.0024503297395222,0.06807516715738245,0.06790876828288457,-0.06276468241261318
13,0.7528825986435244,0.045962491626522876,0.061048683698273716,-0.06905231511825696
14,-0.18424346302083522,-0.014515850826487832,0.07878624613588761,-0.12340451942366784
15,-0.8757447847816104,-0.050662920699305544,0.05785123883088798,-0.12079728087130928
16,0.33147892308841403,0.024392687792818696,0.0735874473271187,-0.06917670035990892
17,-1.1246910341633665,-0.04193968686423391,0.03728996283448809,-0.10133738895202991
18,-0.39901435889419185,-0.034394438805947274,0.08619849897448872,-0.12012720144609922
19,0.7905470154020148,0.05272438614957661,0.06669354905193693,-0.06042883456731218
