l2_weight,lr,val_sharpe,val_ann_return,val_ann_vol,val_turnover,train_loss_final,train_time_s
0.0,0.0001,0.0,,,,,6027.1186439991
0.0,0.0003,0.0,,,,,1243.1247160434723
0.0,0.001,0.0,,,,,34.60125112533569
0.005,0.0001,1.2663261390805272,0.006672197813284827,0.005268941078740959,0.00712838892678109,6.3433809390397e-05,92.40201115608215
0.005,0.0003,0.5901665035867877,0.0030797398376825854,0.005218425340925318,0.005080576713356275,6.521040220077167e-06,11.69230604171753
0.005,0.001,0.7008007545189089,0.02239551111645699,0.031957030542627246,0.021941045721247405,-1.9098640274572767e-05,10.579712152481079
0.01,0.0001,0.400200416002301,0.0006570341017839058,0.0016417626656843058,0.003659549083285365,9.835238172013735e-05,11.138107061386108
0.01,0.0003,0.2559207189688316,0.00019763088796367063,0.0007722348106865858,0.0012177557191773785,3.474970572773051e-05,936.8906331062317
0.01,0.001,0.5046515253135976,0.0005527174089174856,0.0010952456917157224,0.0008856010122155506,4.6731413021916524e-05,403.2033998966217
0.02,0.0001,-0.29982199773951845,-0.000265849244237538,0.0008866902570254516,0.0026120322388920518,0.00014321964175356903,11.479909181594849
0.02,0.0003,1.9972079193181027,0.0010775420966450653,0.0005395242459347775,0.0007351421891686786,5.0083545332045276e-05,10.883749961853027
0.02,0.001,2.738479743818833,0.0018281839616533712,0.0006675908287362218,0.00035662485701809244,8.532888627224513e-05,10.023401021957397
0.05,0.0001,0.0065462112170353885,3.95848298444169e-06,0.0006046983290335055,0.002174929618010227,0.00028368959067178503,1086.2368590831757
0.05,0.0003,0.1767390722955319,3.079779084462349e-05,0.00017425570047762483,0.0006005164155503909,9.765002598111816e-05,1981.5898988246918
0.05,0.001,2.797155043051582,0.0012106941024260197,0.00043283053094733063,0.00028084926137978935,0.00017663797408667446,1871.9110169410706
