date,rho,converged,n_iters
2016-03-14,0.6819738149642944,True,24
2016-03-15,0.6820453405380249,True,21
2016-03-16,0.6819809079170227,True,22
2016-03-17,0.6819078922271729,True,22
2016-03-18,0.6820002198219299,True,21
2016-03-21,0.6819944381713867,True,21
2016-03-22,0.68208247423172,True,22
2016-03-23,0.6821259260177612,True,22
2016-03-24,0.682142972946167,True,21
2016-03-28,0.6821606159210205,True,20
2016-03-29,0.6818633079528809,True,23
2016-03-30,0.6819183230400085,True,22
2016-03-31,0.6818132996559143,True,20
2016-04-01,0.6818190217018127,True,21
2016-04-04,0.6818268895149231,True,22
2016-04-05,0.6818474531173706,True,21
2016-04-06,0.6818889379501343,True,22
2016-04-07,0.6819161772727966,True,22
2016-04-08,0.681862473487854,True,22
2016-04-11,0.6820061206817627,True,23
2016-04-12,0.6820087432861328,True,22
2016-04-13,0.682131290435791,True,22
2016-04-14,0.6821220517158508,True,21
2016-04-15,0.6821327805519104,True,23
2016-04-18,0.6821208000183105,True,22
2016-04-19,0.6820141077041626,True,22
2016-04-20,0.682096540927887,True,22
2016-04-21,0.6821037530899048,True,22
2016-04-22,0.6822036504745483,True,22
2016-04-25,0.6822312474250793,True,21
2016-04-26,0.6822075247764587,True,21
2016-04-27,0.6818481087684631,True,22
2016-04-28,0.6816389560699463,True,23
2016-04-29,0.6816309094429016,True,21
2016-05-02,0.6816378831863403,True,22
2016-05-03,0.6816322803497314,True,22
2016-05-04,0.6815258860588074,True,21
2016-05-05,0.6815564632415771,True,21
2016-05-06,0.681691586971283,True,22
2016-05-09,0.681696355342865,True,23
2016-05-10,0.6816859245300293,True,21
2016-05-11,0.681590735912323,True,22
2016-05-12,0.6815003156661987,True,22
2016-05-13,0.6814854741096497,True,23
2016-05-16,0.6815110445022583,True,22
2016-05-17,0.6815832853317261,True,22
2016-05-18,0.6817807555198669,True,22
2016-05-19,0.6814953088760376,True,23
2016-05-20,0.6814477443695068,True,22
2016-05-23,0.6817693710327148,True,22
2016-05-24,0.6817877292633057,True,21
2016-05-25,0.6819113492965698,True,21
2016-05-26,0.6820638179779053,True,22
2016-05-27,0.6820284724235535,True,22
2016-05-31,0.6820856332778931,True,22
2016-06-01,0.6821278929710388,True,21
2016-06-02,0.6821282505989075,True,22
2016-06-03,0.6821491718292236,True,23
2016-06-06,0.6820957064628601,True,22
2016-06-07,0.6820342540740967,True,21
2016-06-08,0.6819730997085571,True,22
2016-06-09,0.681998610496521,True,21
2016-06-10,0.682113528251648,True,23
2016-06-13,0.682196319103241,True,22
2016-06-14,0.6821284294128418,True,23
2016-06-15,0.6822338700294495,True,21
2016-06-16,0.6820960640907288,True,22
2016-06-17,0.6818642020225525,True,22
2016-06-20,0.6818475127220154,True,22
2016-06-21,0.681879460811615,True,22
2016-06-22,0.6818332076072693,True,23
2016-06-23,0.6818096041679382,True,22
2016-06-24,0.6820380687713623,True,21
2016-06-27,0.6819912791252136,True,22
2016-06-28,0.6819581985473633,True,22
2016-06-29,0.6819019913673401,True,22
2016-06-30,0.6819891333580017,True,22
2016-07-01,0.6819832921028137,True,21
2016-07-05,0.6821747422218323,True,23
2016-07-06,0.6821849346160889,True,21
2016-07-07,0.6822925806045532,True,22
2016-07-08,0.6822801828384399,True,21
2016-07-11,0.682230532169342,True,22
2016-07-12,0.682121217250824,True,20
2016-07-13,0.6820632815361023,True,21
2016-07-14,0.6819148063659668,True,21
2016-07-15,0.6818056702613831,True,21
2016-07-18,0.6818374991416931,True,22
2016-07-19,0.6818921566009521,True,22
2016-07-20,0.6818755865097046,True,23
2016-07-21,0.6818621754646301,True,22
2016-07-22,0.6820042729377747,True,23
2016-07-25,0.6821208596229553,True,22
