date,rho,converged,n_iters
2016-03-14,0.7507148385047913,True,25
2016-03-15,0.7667551636695862,True,29
2016-03-16,0.8277999758720398,True,36
2016-03-17,0.7056796550750732,True,27
2016-03-18,0.6945586800575256,True,25
2016-03-21,0.6874010562896729,True,26
2016-03-22,0.7093508243560791,True,28
2016-03-23,0.8391606211662292,True,44
2016-03-24,0.8356391787528992,True,38
2016-03-28,0.8099908828735352,True,40
2016-03-29,0.8681403994560242,True,54
2016-03-30,0.8315679430961609,True,40
2016-03-31,0.8326017260551453,True,45
2016-04-01,0.7370304465293884,True,27
2016-04-04,0.6722685694694519,True,24
2016-04-05,0.7115738391876221,True,26
2016-04-06,0.6744757294654846,True,23
2016-04-07,0.7650026082992554,True,29
2016-04-08,0.7273098230361938,True,26
2016-04-11,0.7779191732406616,True,34
2016-04-12,0.7783392071723938,True,28
2016-04-13,0.8254377841949463,True,39
2016-04-14,0.7930140495300293,True,37
2016-04-15,0.7764018177986145,True,33
2016-04-18,0.7526193261146545,True,30
2016-04-19,0.792179524898529,True,34
2016-04-20,0.7907395362854004,True,32
2016-04-21,0.8025516271591187,True,43
2016-04-22,0.7646278738975525,True,36
2016-04-25,0.7641220688819885,True,32
2016-04-26,0.7631343007087708,True,31
2016-04-27,0.8043354153633118,True,27
2016-04-28,0.7650750279426575,True,34
2016-04-29,0.7474779486656189,True,32
2016-05-02,0.750299334526062,True,31
2016-05-03,0.7344761490821838,True,27
2016-05-04,0.7026265263557434,True,29
2016-05-05,0.7710051536560059,True,26
2016-05-06,0.7746171951293945,True,30
2016-05-09,0.7621538043022156,True,31
2016-05-10,0.7385961413383484,True,28
2016-05-11,0.7124870419502258,True,25
2016-05-12,0.7446622848510742,True,32
2016-05-13,0.6468358635902405,True,22
2016-05-16,0.7340960502624512,True,28
2016-05-17,0.7152846455574036,True,26
2016-05-18,0.6767864227294922,True,26
2016-05-19,0.6963925957679749,True,27
2016-05-20,0.7549812197685242,True,29
2016-05-23,0.7567934393882751,True,34
2016-05-24,0.7803970575332642,True,35
2016-05-25,0.7914438247680664,True,36
2016-05-26,0.7994700074195862,True,36
2016-05-27,0.7064358592033386,True,25
2016-05-31,0.7062126398086548,True,25
2016-06-01,0.6992925405502319,True,27
2016-06-02,0.729529082775116,True,25
2016-06-03,0.781934916973114,True,30
2016-06-06,0.773155927658081,True,31
2016-06-07,0.7576202154159546,True,28
2016-06-08,0.7587465047836304,True,31
2016-06-09,0.7541486024856567,True,29
2016-06-10,0.7445957660675049,True,30
2016-06-13,0.7331835031509399,True,33
2016-06-14,0.7893427610397339,True,34
2016-06-15,0.7926680445671082,True,35
2016-06-16,0.7587524056434631,True,31
2016-06-17,0.7392390370368958,True,29
2016-06-20,0.7011602520942688,True,26
2016-06-21,0.7497352957725525,True,25
2016-06-22,0.7378923892974854,True,25
2016-06-23,0.7153109908103943,True,27
2016-06-24,0.7611554265022278,True,30
2016-06-27,0.7998544573783875,True,29
2016-06-28,0.8094516396522522,True,38
2016-06-29,0.7844815850257874,True,33
2016-06-30,0.7923839092254639,True,34
2016-07-01,0.8186314702033997,True,38
2016-07-05,0.8103970289230347,True,35
2016-07-06,0.8072587847709656,True,37
2016-07-07,0.7724851369857788,True,28
2016-07-08,0.8072986602783203,True,35
2016-07-11,0.8198192715644836,True,41
2016-07-12,0.8391159176826477,True,44
2016-07-13,0.8562105894088745,True,47
2016-07-14,0.7958702445030212,True,41
2016-07-15,0.7829678654670715,True,37
2016-07-18,0.7602236866950989,True,35
2016-07-19,0.7751025557518005,True,31
2016-07-20,0.7971040606498718,True,36
2016-07-21,0.8078089952468872,True,36
2016-07-22,0.8445369005203247,True,48
2016-07-25,0.7428021430969238,True,32
2016-07-26,0.7662095427513123,True,32
2016-07-27,0.6909815669059753,True,21
2016-07-28,0.7044188380241394,True,21
2016-07-29,0.7111563682556152,True,24
2016-08-01,0.7310695648193359,True,27
2016-08-02,0.7685199975967407,True,31
2016-08-03,0.7192308306694031,True,27
2016-08-04,0.7335171699523926,True,25
2016-08-05,0.6704950928688049,True,24
2016-08-08,0.6685130596160889,True,22
2016-08-09,0.6716309189796448,True,24
2016-08-10,0.6864345073699951,True,25
2016-08-11,0.6760307550430298,True,24
2016-08-12,0.7072262763977051,True,26
2016-08-15,0.6909643411636353,True,23
2016-08-16,0.7398589253425598,True,27
2016-08-17,0.7106719613075256,True,26
2016-08-18,0.7559159398078918,True,26
2016-08-19,0.7285780906677246,True,26
2016-08-22,0.7452914118766785,True,25
2016-08-23,0.7506193518638611,True,21
2016-08-24,0.759912371635437,True,30
2016-08-25,0.7996916770935059,True,38
2016-08-26,0.7014644742012024,True,30
2016-08-29,0.7815523147583008,True,36
2016-08-30,0.7782360911369324,True,31
2016-08-31,0.7851898670196533,True,33
2016-09-01,0.8048656582832336,True,41
2016-09-02,0.7771314978599548,True,35
2016-09-06,0.8183719515800476,True,41
2016-09-07,0.8045675158500671,True,31
2016-09-08,0.7408730387687683,True,32
2016-09-09,0.7960044145584106,True,42
2016-09-12,0.8027336001396179,True,40
2016-09-13,0.7231732606887817,True,30
2016-09-14,0.7034279704093933,True,27
2016-09-15,0.7301658987998962,True,27
2016-09-16,0.7096161842346191,True,26
2016-09-19,0.7108985781669617,True,29
2016-09-20,0.716118335723877,True,31
2016-09-21,0.7889995574951172,True,35
2016-09-22,0.7780951261520386,True,34
2016-09-23,0.8210920691490173,True,35
2016-09-26,0.7952905297279358,True,33
2016-09-27,0.8210744261741638,True,35
2016-09-28,0.8053478598594666,True,41
2016-09-29,0.7992929220199585,True,38
2016-09-30,0.7896066308021545,True,38
2016-10-03,0.8157597184181213,True,40
2016-10-04,0.7698106169700623,True,29
2016-10-05,0.6974839568138123,True,30
2016-10-06,0.6881999969482422,True,26
2016-10-07,0.7020272612571716,True,26
2016-10-10,0.7448945641517639,True,33
2016-10-11,0.7562361359596252,True,32
2016-10-12,0.7349667549133301,True,31
2016-10-13,0.7607629895210266,True,31
2016-10-14,0.767467200756073,True,31
2016-10-17,0.7655305862426758,True,25
2016-10-18,0.7530831694602966,True,29
2016-10-19,0.7595889568328857,True,27
2016-10-20,0.746453583240509,True,32
2016-10-21,0.7538136839866638,True,33
2016-10-24,0.7826716303825378,True,31
2016-10-25,0.7420259118080139,True,30
2016-10-26,0.7939984798431396,True,40
2016-10-27,0.8199406266212463,True,44
2016-10-28,0.8014362454414368,True,30
2016-10-31,0.840233325958252,True,46
2016-11-01,0.8435484766960144,True,48
2016-11-02,0.7208402156829834,True,28
2016-11-03,0.7675997614860535,True,28
2016-11-04,0.801287055015564,True,36
2016-11-07,0.8082078099250793,True,38
2016-11-08,0.8202764987945557,True,42
2016-11-09,0.7501322627067566,True,33
2016-11-10,0.6821238994598389,True,28
2016-11-11,0.6589701175689697,True,25
2016-11-14,0.6623287200927734,True,22
2016-11-15,0.6394319534301758,True,20
2016-11-16,0.6363303661346436,True,20
2016-11-17,0.6461235284805298,True,20
2016-11-18,0.6511404514312744,True,20
2016-11-21,0.6556383967399597,True,20
2016-11-22,0.661587119102478,True,18
2016-11-23,0.6586136817932129,True,20
2016-11-25,0.6672502756118774,True,21
2016-11-28,0.6670109033584595,True,20
2016-11-29,0.6242373585700989,True,20
2016-11-30,0.6635507941246033,True,22
2016-12-01,0.6709522008895874,True,20
2016-12-02,0.6634211540222168,True,21
2016-12-05,0.6649990677833557,True,20
2016-12-06,0.6708417534828186,True,21
2016-12-07,0.6858512759208679,True,20
2016-12-08,0.6902734041213989,True,19
2016-12-09,0.6600245833396912,True,22
2016-12-12,0.7060049176216125,True,24
2016-12-13,0.7527574896812439,True,27
2016-12-14,0.7593556642532349,True,26
2016-12-15,0.7619867324829102,True,28
2016-12-16,0.7870339155197144,True,32
2016-12-19,0.790495753288269,True,32
2016-12-20,0.7849042415618896,True,32
2016-12-21,0.8006925582885742,True,33
2016-12-22,0.7680354714393616,True,30
2016-12-23,0.7765696048736572,True,33
2016-12-27,0.786368727684021,True,32
2016-12-28,0.8223350048065186,True,41
2016-12-29,0.8219519853591919,True,39
2016-12-30,0.7681182026863098,True,33
2017-01-03,0.7738680243492126,True,31
2017-01-04,0.6798166036605835,True,26
2017-01-05,0.7231311202049255,True,27
2017-01-06,0.7690587639808655,True,29
2017-01-09,0.7163774371147156,True,26
2017-01-10,0.7064769268035889,True,26
2017-01-11,0.6974807381629944,True,25
2017-01-12,0.714430570602417,True,22
2017-01-13,0.6978892087936401,True,22
2017-01-17,0.6623629331588745,True,23
2017-01-18,0.6543547511100769,True,20
2017-01-19,0.6515522599220276,True,21
2017-01-20,0.6336831450462341,True,19
2017-01-23,0.6866244673728943,True,23
2017-01-24,0.6410956382751465,True,21
2017-01-25,0.6564563512802124,True,21
2017-01-26,0.6497561931610107,True,22
2017-01-27,0.6797696948051453,True,25
2017-01-30,0.6537243127822876,True,26
2017-01-31,0.6632569432258606,True,23
2017-02-01,0.7176759839057922,True,22
2017-02-02,0.63705974817276,True,22
2017-02-03,0.6469067931175232,True,20
2017-02-06,0.6654913425445557,True,21
2017-02-07,0.666239321231842,True,22
2017-02-08,0.7004036903381348,True,20
2017-02-09,0.6815678477287292,True,24
2017-02-10,0.6634464263916016,True,24
2017-02-13,0.6852107644081116,True,24
2017-02-14,0.690854012966156,True,20
2017-02-15,0.7074267268180847,True,27
2017-02-16,0.7517916560173035,True,29
2017-02-17,0.7432346940040588,True,25
2017-02-21,0.7388444542884827,True,28
2017-02-22,0.747225284576416,True,27
2017-02-23,0.7586274147033691,True,28
2017-02-24,0.7610896825790405,True,31
2017-02-27,0.787617564201355,True,31
2017-02-28,0.7897547483444214,True,34
2017-03-01,0.7857398390769958,True,32
2017-03-02,0.7698816061019897,True,37
