model,sharpe,ann_return,ann_vol,max_drawdown,hit_rate,avg_daily_turnover
Equal_weight_buyhold,1.6079536433550985,0.18495589675881535,0.11502563990146694,-0.13044447993547692,0.5534351145038168,0.0
Risk_parity_inverse_vol,1.6055521571561606,0.15495623863867947,0.09651274046004597,-0.11810053648054733,0.5801526717557252,0.03753039707880031
Random_forest_ML,1.0576276209777273,0.3070257108715314,0.2902966079759722,-0.2664507332320201,0.566793893129771,0.21546483255170087
60_40,0.9237871196124172,0.10707568940693263,0.11590948513317348,-0.1327789903742087,0.5477099236641222,0.0019083969465648854
REN_composite_seed1,0.6931312548001615,0.04237623415616312,0.061137387562159105,-0.059816179141635076,0.5419847328244275,0.07234045007543369
REN_composite_BEST_seed,0.6931312548001615,0.04237623415616312,0.061137387562159105,-0.059816179141635076,0.5419847328244275,0.07234045007543369
REN_ift_trained,0.601213152778022,0.00025467955870681183,0.00042360942625758525,-0.0005771991922047164,0.5706106870229007,0.0003030625151592967
TS_momentum_12m,0.5421912221873536,0.0469655193291378,0.08662168881979597,-0.11264661307961632,0.5610687022900763,0.08494193476706399
REN_untrained,0.49903038700900304,0.02588553265337289,0.051871656170119934,-0.08241445081308484,0.5209923664122137,0.05671718789580925
REN_composite_seed0,0.3978186398862884,0.047198604018633614,0.11864352065585654,-0.12525142715126275,0.5534351145038168,0.08447375145735475
REN_composite_seed3,0.30686839760795986,0.04238349359021311,0.13811618896110703,-0.14674244741303846,0.5591603053435115,0.09474953832922375
REN_composite_seed2,0.14952705310413492,0.012731844208856409,0.08514742947545142,-0.09226766354730352,0.5419847328244275,0.08709992300621269
Ridge_ML,-0.009271496590410466,-0.0022248984818942544,0.23997188158333282,-0.27161401578437766,0.5419847328244275,0.2132214342560779
Mean_reversion_5d,-0.07539691506021963,-0.01474967086666292,0.19562698095647993,-0.21625991444869938,0.49236641221374045,0.625181704834058
REN_composite_seed4,-0.39260591624790503,-0.01634380176366362,0.04162902566486944,-0.06524985058006132,0.4961832061068702,0.18096749574827556
